Date : 2025-12-02 23:03:26
Directory : d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components
Total : 206 files,  9538 codes, 173 comments, 1203 blanks, all 10914 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |        175 |      9,184 |        173 |      1,137 |     10,494 |
| TypeScript |         31 |        354 |          0 |         66 |        420 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\Drawer.vue                          | vue        |         18 |          0 |          4 |         22 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerClose.vue                     | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerContent.vue                   | vue        |         31 |          0 |          4 |         35 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerDescription.vue               | vue        |         18 |          0 |          4 |         22 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerFooter.vue                    | vue        |         15 |          0 |          3 |         18 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerHeader.vue                    | vue        |         15 |          0 |          3 |         18 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerOverlay.vue                   | vue        |         16 |          0 |          4 |         20 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerTitle.vue                     | vue        |         18 |          0 |          4 |         22 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerTrigger.vue                   | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\index.ts                            | TypeScript |          9 |          0 |          1 |         10 |
