"filename", "language", "vue", "TypeScript", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\Carousel.vue", "vue", 44, 0, 0, 10, 54
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\CarouselContent.vue", "vue", 29, 0, 0, 5, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\CarouselItem.vue", "vue", 21, 0, 0, 4, 25
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\CarouselNext.vue", "vue", 38, 0, 0, 4, 42
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\CarouselPrevious.vue", "vue", 38, 0, 0, 4, 42
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\index.ts", "TypeScript", 0, 9, 0, 2, 11
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\interface.ts", "TypeScript", 0, 21, 0, 6, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\carousel\useCarousel.ts", "TypeScript", 0, 44, 0, 13, 57
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\checkbox\Checkbox.vue", "vue", 31, 0, 0, 5, 36
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\checkbox\index.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\Collapsible.vue", "vue", 16, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\CollapsibleContent.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\CollapsibleTrigger.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\index.ts", "TypeScript", 0, 3, 0, 1, 4
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\Dialog.vue", "vue", 15, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogClose.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogContent.vue", "vue", 40, 0, 0, 7, 47
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogDescription.vue", "vue", 19, 0, 0, 5, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogFooter.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogHeader.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogOverlay.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogScrollContent.vue", "vue", 50, 0, 0, 7, 57
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogTitle.vue", "vue", 19, 0, 0, 5, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogTrigger.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\index.ts", "TypeScript", 0, 10, 0, 1, 11
