"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "PostCSS", "vue", "Markdown", "XML", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuShortcut.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSub.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSubContent.vue", "vue", 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSubTrigger.vue", "vue", 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuTrigger.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\index.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTP.vue", "vue", 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPGroup.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPSeparator.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPSlot.vue", "vue", 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input\Input.vue", "vue", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\label\Label.vue", "vue", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\label\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\Pagination.vue", "vue", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationContent.vue", "vue", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationEllipsis.vue", "vue", 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationFirst.vue", "vue", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationItem.vue", "vue", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationLast.vue", "vue", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationNext.vue", "vue", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationPrevious.vue", "vue", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\index.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\Select.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectContent.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 53
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectGroup.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectItem.vue", "vue", 0, 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectItemText.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectLabel.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectScrollDownButton.vue", "vue", 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectScrollUpButton.vue", "vue", 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectSeparator.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectTrigger.vue", "vue", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectValue.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\index.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\separator\Separator.vue", "vue", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\separator\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\Sheet.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetClose.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
